"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000000001","WY866313D","Leo","Thomas","Martin","1951-05-27","Cash","Yes","3356.31","10416.87","2025-05-10","2026-02-09","15190.78","-106.81","502.19","91453.62","2026-02-09","Void","Closed"
"ISA000000002","CC014525A","Amelia","Samuel","Walker","1980-12-09","Stock and Shares","Yes","13157.63","10466.17","2025-05-27","2025-06-10","10043.28","-3850.52","106.03","45903.94","2025-06-22","Void","Closed"
"ISA000000003","CP480177A","Freya","David","Evans","1945-11-08","Stock and Shares","Yes","9222.01","19199.98","2025-05-25","2025-06-19","3806.46","1069.15","-368.25","65947.71","2025-10-25","Void","Void"
"ISA000000004","LH898156B","Ava","Louise","Clarke","1961-08-01","Innovative Finance","No","7192.02","19507.31","2025-05-12","2025-06-20","268.16","3127.28","773.64","79378.30","2025-12-28","Cancelled","Transferred in full"
"ISA000000005","LC193629D","Ruby","Alexander","Roberts","1981-04-10","Innovative Finance","No","5805.99","18314.26","2026-01-15","2026-02-17","6345.92","1725.09","750.87","32671.66","2026-03-31","Cancelled","Transferred in full"
"ISA000000006","EZ995446C","Arthur","Alexander","Young","1954-08-10","Innovative Finance","Yes","4038.83","5740.11","2025-08-20","2025-09-01","1952.60","186.52","256.27","11474.60","2025-09-07","Cancelled","Closed"
"ISA000000007","EK933649D","Hannah","Joseph","Wright","1956-09-19","Innovative Finance","Yes","18351.76","1124.20","2025-06-17","2025-12-28","17678.15","3236.93","512.18","8623.30","2026-01-30","Closed","Closed"
"ISA000000008","SY959155A","Noah","Elizabeth","Jackson","1996-07-04","Stock and Shares","Yes","6659.37","17661.38","2025-10-10","2026-02-28","11561.76","2172.38","225.89","18676.98","2026-04-05","Cancelled","Transferred in full"
"ISA000000009","EY596272C","Hannah","Louise","White","1986-05-15","Life Time ISA","No","11370.12","3881.45","2025-07-14","2026-02-03","10344.77","-873.06","-916.28","80037.47","2026-03-08","Cancelled","All funds withdrawn"
"ISA000000010","RB441710C","Mia","Victoria","Young","1958-08-11","Innovative Finance","Yes","3273.28","10460.35","2025-06-17","2025-09-28","14781.04","-519.95","289.87","34642.67","2026-02-18","Void","Closed"
"ISA000000011","JL396075D","Noah","Claire","Foster","1996-06-28","Cash","Yes","6096.34","9954.82","2025-11-03","2025-11-16","14015.23","-3472.83","-969.11","35475.46","2026-02-28","Void","Closed"
"ISA000000012","LW154462D","William","Olivia","Hill","1960-07-27","Cash","No","1597.51","678.57","2026-01-05","2026-02-10","6906.73","3258.21","8.18","7617.53","2026-02-26","Cancelled","All funds withdrawn"
"ISA000000013","AS036819C","Freya","Marie","Roberts","1979-11-07","Stock and Shares","Yes","18293.53","12567.94","2025-12-02","2025-12-02","2171.97","-2733.92","248.93","93306.00","2025-12-29","Void","Cancelled"
"ISA000000014","AR690872C","Daisy","Victoria","Evans","1993-06-06","Cash","No","5904.93","9406.92","2025-12-26","2026-03-02","17606.57","3589.56","84.81","45271.74","2026-03-05","Closed","Closed"
"ISA000000015","SY717021B","George","Grace","Morris","2000-03-04","Cash","Yes","1029.37","2673.52","2025-12-27","2026-01-22","5945.01","402.19","602.27","3552.73","2026-01-22","Cancelled","Void"
"ISA000000016","BK052904D","Lucas","Joseph","Johnson","1970-05-20","Innovative Finance","Yes","16626.60","16684.96","2025-05-04","2026-03-24","2567.13","3916.22","556.83","94565.86","2026-04-02","Closed","Cancelled"
"ISA000000017","BC922664C","Emily","Elizabeth","Hughes","1979-10-25","Cash","Yes","5060.04","19016.08","2025-07-25","2025-11-10","171.07","874.98","-545.54","14876.48","2025-11-16","Cancelled","Void"
"ISA000000018","MA435389B","Edward","Marie","Smith","2004-02-17","Innovative Finance","Yes","18288.99","8248.86","2025-10-05","2025-12-07","1561.42","3777.29","252.84","39156.98","2026-03-26","Closed","Closed"
"ISA000000019","HZ181564C","Lucas","Benjamin","Robinson","1980-02-27","Cash","No","5604.08","16637.69","2025-09-05","2025-09-07","18986.90","454.89","-522.14","47417.53","2026-02-11","Cancelled","All funds withdrawn"
"ISA000000020","MY549484D","Noah","Patrick","Phillips","1982-04-25","Innovative Finance","Yes","13026.80","11334.48","2026-01-31","2026-03-05","10050.51","1572.61","600.13","64754.61","2026-04-03","Cancelled","Transferred in full"
"ISA000000021","JY092273C","Amelia","Marie","Taylor","1988-03-04","Innovative Finance","No","12016.17","10606.16","2025-09-22","2025-09-27","13121.03","2734.04","93.64","64835.29","2025-11-03","Closed","Transferred in full"
"ISA000000022","CK478071B","Isla","Grace","Bailey","1945-02-07","Cash","No","19238.79","15835.49","2026-02-15","2026-04-02","19268.44","2100.64","-174.73","96099.38","2026-04-05","Closed","Closed"
"ISA000000023","SS669805C","Olivia","Thomas","Bailey","1969-12-05","Innovative Finance","Yes","15435.63","18830.56","2025-05-17","2025-10-01","2445.90","44.64","508.82","65360.78","2025-11-23","Void","Cancelled"
"ISA000000024","JP121539C","Daisy","Alice","Young","1950-07-30","Stock and Shares","Yes","1832.08","16164.03","2025-05-21","2026-02-03","12883.93","3752.65","490.16","78117.81","2026-03-07","Cancelled","Void"
"ISA000000025","JR977147D","Ethan","Thomas","Bailey","1977-01-18","Stock and Shares","Yes","14968.58","7991.55","2026-01-23","2026-02-15","12380.04","1948.55","64.04","46360.82","2026-02-28","Void","Transferred in full"
"ISA000000026","LJ721889A","Edward","Marie","Martin","1980-02-17","Cash","No","18097.91","4093.30","2025-07-07","2025-12-15","9427.82","1392.95","47.02","90938.48","2026-04-02","Cancelled","Void"
"ISA000000027","BK203580A","Lucas","Michael","Smith","1967-03-29","Life Time ISA","Yes","10458.88","6303.72","2025-05-18","2025-11-09","3846.78","2205.54","932.58","35893.49","2025-12-05","Cancelled","Transferred in full"
"ISA000000028","EM259050B","Sophia","Elizabeth","White","1956-09-04","Cash","No","10626.67","11503.84","2025-05-03","2025-09-10","8074.76","2532.95","378.88","14611.24","2025-10-12","Closed","Void"
"ISA000000029","AH272926C","Isla","Claire","Miller","1951-06-09","Stock and Shares","No","19422.83","5818.54","2026-01-06","2026-02-17","13621.69","1254.31","622.69","51654.83","2026-03-26","Void","All funds withdrawn"
"ISA000000030","AL128614C","Lily","Victoria","Hall","1999-02-23","Cash","Yes","8348.13","4881.70","2025-06-21","2025-12-23","13608.92","1612.99","52.61","58908.13","2026-02-01","Void","Closed"
"ISA000000031","JN671252A","Ethan","Elizabeth","Mitchell","2000-03-23","Innovative Finance","Yes","2411.11","10218.36","2025-04-18","2025-04-21","16480.19","-1159.22","529.27","46008.86","2025-04-25","Void","Closed"
"ISA000000032","EJ272976B","Theo","William","Mitchell","1975-11-25","Cash","No","3956.36","13266.70","2025-06-22","2026-03-29","14511.48","3601.01","85.54","88625.00","2026-03-30","Void","All funds withdrawn"
"ISA000000033","KC191583B","James","David","Carter","1963-10-31","Cash","Yes","10848.37","8201.20","2025-06-19","2025-07-18","1590.13","-2772.97","407.06","40082.95","2026-02-10","Void","Closed"
"ISA000000034","LK720686B","James","Ann","Adams","2001-07-26","Life Time ISA","No","17163.43","892.26","2025-12-09","2026-03-29","12849.12","-1615.33","-555.74","24947.14","2026-03-31","Cancelled","All funds withdrawn"
"ISA000000035","RB285602B","Arthur","Claire","Jackson","1973-02-27","Stock and Shares","Yes","12182.15","8759.65","2025-08-14","2026-03-11","8562.08","3112.83","-882.38","5026.63","2026-04-02","Cancelled","Cancelled"
"ISA000000036","KB513184B","James","William","Roberts","1952-06-25","Cash","No","16566.73","18540.26","2025-10-10","2026-02-13","7677.35","-1386.16","763.04","92074.09","2026-02-16","Cancelled","Closed"
"ISA000000037","HH410330B","Lucas","Alexander","Hill","1977-03-27","Stock and Shares","Yes","12302.21","954.54","2025-06-29","2026-02-07","9584.43","3589.82","84.58","65733.50","2026-04-01","Void","All funds withdrawn"
"ISA000000038","MR919456B","Charlotte","Benjamin","Williams","1970-09-04","Stock and Shares","Yes","8885.91","6205.49","2025-11-26","2026-04-05","9204.78","3695.35","517.44","15339.09","2026-04-05","Void","All funds withdrawn"
"ISA000000039","ME195320A","Edward","Benjamin","Hall","1972-08-02","Innovative Finance","No","3206.04","17085.47","2026-02-09","2026-03-05","10756.31","1040.46","-876.97","7907.13","2026-04-02","Cancelled","Transferred in full"
"ISA000000040","SR341995D","Daisy","Elizabeth","King","1969-10-05","Innovative Finance","Yes","1787.66","9384.94","2025-04-10","2025-06-12","2641.00","1032.39","930.26","4290.34","2025-08-21","Closed","Closed"
"ISA000000041","HX233833B","Jacob","Marie","Miller","1956-01-13","Stock and Shares","No","16519.47","3486.29","2025-05-20","2025-11-26","8455.30","1208.68","771.61","21680.65","2026-01-21","Cancelled","Transferred in full"
"ISA000000042","HL873144D","Ethan","Louise","Johnson","1950-10-15","Innovative Finance","Yes","19415.38","12945.14","2026-01-22","2026-02-24","13561.06","1806.98","150.75","11593.96","2026-03-11","Cancelled","Void"
"ISA000000043","BZ704913B","Amelia","Samuel","Edwards","1971-12-01","Life Time ISA","No","3863.89","18613.84","2025-12-06","2026-03-27","859.60","3642.49","661.64","2251.76","2026-04-04","Cancelled","Cancelled"
"ISA000000044","AY223089A","Leo","Claire","Bailey","1941-09-02","Cash","No","11960.23","10715.52","2025-06-05","2025-06-25","1571.57","-549.98","726.65","6530.67","2026-03-25","Closed","Closed"
"ISA000000045","MT659002C","Oliver","Louise","White","2004-07-19","Cash","No","4971.60","16221.78","2025-11-19","2026-02-18","2594.88","1452.26","436.99","15357.05","2026-03-10","Cancelled","Transferred in full"
"ISA000000046","SK032518C","Edward","Joseph","Lewis","1969-06-03","Cash","Yes","12826.28","643.45","2025-08-22","2026-03-16","1473.16","1368.43","220.87","74923.02","2026-03-22","Closed","All funds withdrawn"
"ISA000000047","WL443601D","William","Elizabeth","Williams","1975-09-11","Innovative Finance","No","15553.23","1425.80","2025-11-03","2026-03-23","13810.14","3888.03","401.25","82250.00","2026-04-04","Closed","Closed"
"ISA000000048","RR994103A","Hannah","Alice","Foster","1952-08-02","Innovative Finance","Yes","16562.30","8905.89","2026-02-05","2026-02-13","2221.13","-177.08","626.48","8040.30","2026-02-24","Closed","Void"
"ISA000000049","RS793662A","Logan","Jane","Walker","1948-08-16","Cash","Yes","13857.99","9021.13","2025-10-18","2025-12-20","17887.56","1095.93","-442.56","86335.64","2026-03-04","Closed","Closed"
